"instance";"dataset";"ts";"model";"preprocess";"augment";"window_size";"test_size";"strategy";"true";"pred";"mse";"smape";"r2"
"knn";"gdp";"italy";"knn";"diff";"none";6;5;"sa";2250534,1904;2324581,4141;41684159642,4382;8,50003362078943;-1,83187706283738
"arima";"gdp";"japan";"arima";"none";"none";0;1;"ro";5117993,853017;5170496,91056402;2756571051,78616;1,02061728495444;-Inf
"arima";"gdp";"japan";"arima";"none";"none";0;2;"ro";5048789,595589;5203366,55420834;13325303593,8951;2,01805936691768;-10,1293929849585
"arima";"gdp";"japan";"arima";"none";"none";0;3;"ro";5005536,736792;5102254,73395984;12001659387,9829;1,98328342778582;-4,59470333186209
"arima";"gdp";"japan";"arima";"none";"none";0;4;"ro";4232173,916087;5072196,03709776;185410535487,841;6,0015894017659;-0,433862746477895
"arima";"gdp";"japan";"arima";"none";"none";0;5;"ro";4166936,088246;4069656,41664159;150221095291,766;5,27369830006753;0,157692561194386
"arima";"gdp";"japan";"arima";"none";"none";0;1;"sa";5117993,853017;5170496,91056402;2756571051,78616;1,02061728495444;-Inf
"arima";"gdp";"japan";"arima";"none";"none";0;2;"sa";5048789,595589;5271313,04547453;26136628400,3726;2,66652217663448;-20,8295070517447
"arima";"gdp";"japan";"arima";"none";"none";0;3;"sa";5005536,736792;5372129,18038504;62221092166,7536;4,13269041308407;-28,0050350875639
"arima";"gdp";"japan";"arima";"none";"none";0;4;"sa";4232173,916087;5472945,31529555;431544235398,549;9,49187306906829;-2,33732493122454
"arima";"gdp";"japan";"arima";"none";"none";0;5;"sa";4166936,088246;5573761,45020605;741066908129,647;13,3706016099579;-3,15524975475594
"knn";"gdp";"japan";"knn";"diff";"none";6;1;"ro";5117993,853017;5348991,577158;53359948558,3219;4,41383482726676;-Inf
"knn";"gdp";"japan";"knn";"diff";"none";6;2;"ro";5048789,595589;5373609,35322367;79433911754,0828;5,3234720497584;-65,3437957727821
"knn";"gdp";"japan";"knn";"diff";"none";6;3;"ro";5005536,736792;5325716,89325933;87127718701,2039;5,61507562077887;-39,6155284329474
"knn";"gdp";"japan";"knn";"diff";"none";6;4;"ro";4232173,916087;5097179,31723133;252404375028,12;8,84724116629774;-0,951956125085404
"knn";"gdp";"japan";"knn";"diff";"none";6;5;"ro";4166936,088246;4156026,90341333;201947302085,239;7,13022226544589;-0,132342394806419
"knn";"gdp";"japan";"knn";"diff";"none";6;1;"sa";5117993,853017;5348991,577158;53359948558,3219;4,41383482726676;-Inf
"knn";"gdp";"japan";"knn";"diff";"none";6;2;"sa";5048789,595589;5442035,80956833;104001266683,701;5,95539476209837;-85,8626339130209
"knn";"gdp";"japan";"knn";"diff";"none";6;3;"sa";5005536,736792;5699485,80020367;229855945325,777;8,29190479054661;-106,149835001156
